iter	Passed	Remaining
0	3	317
1	5	285
2	8	264
3	9	227
4	11	221
5	13	217
6	16	222
7	19	222
8	21	217
9	23	211
10	25	204
11	27	202
12	30	201
13	32	201
14	34	198
15	36	192
16	38	187
17	39	180
18	41	176
19	43	172
20	45	169
21	46	165
22	48	163
23	50	160
24	52	157
25	54	155
26	56	151
27	57	147
28	58	143
29	60	141
30	62	138
31	64	136
32	65	133
33	67	130
34	68	127
35	70	124
36	71	122
37	73	119
38	75	117
39	76	114
40	77	112
41	78	108
42	79	105
43	81	103
44	82	101
45	84	99
46	86	97
47	87	95
48	89	93
49	91	91
50	92	88
51	93	86
52	94	84
53	95	81
54	96	78
55	97	76
56	98	74
57	100	72
58	101	70
59	102	68
60	103	66
61	104	64
62	105	62
63	107	60
64	108	58
65	109	56
66	110	54
67	112	52
68	113	50
69	114	49
70	115	47
71	117	45
72	119	44
73	121	42
74	122	40
75	123	39
76	125	37
77	126	35
78	127	33
79	128	32
80	129	30
81	130	28
82	132	27
83	133	25
84	134	23
85	135	22
86	137	20
87	138	18
88	139	17
89	140	15
90	142	14
91	143	12
92	144	10
93	146	9
94	147	7
95	149	6
96	151	4
97	152	3
98	153	1
99	155	0
