iter	Passed	Remaining
0	140	140524
1	142	71041
2	144	47867
3	145	36214
4	146	29223
5	148	24633
6	150	21351
7	152	18866
8	153	16953
9	155	15410
10	157	14145
11	159	13095
12	160	12185
13	162	11478
14	165	10838
15	166	10248
16	168	9724
17	169	9252
18	171	8830
19	172	8451
20	173	8097
21	174	7777
22	177	7523
23	178	7274
24	180	7051
25	182	6831
26	184	6633
27	185	6454
28	187	6276
29	188	6105
30	190	5952
31	192	5834
32	194	5708
33	196	5579
34	197	5456
35	199	5338
36	200	5229
37	203	5141
38	205	5064
39	207	4975
40	208	4882
41	210	4799
42	212	4720
43	213	4642
44	215	4568
45	216	4488
46	219	4448
47	221	4390
48	223	4328
49	224	4269
50	226	4212
51	228	4161
52	230	4118
53	233	4086
54	235	4039
55	236	3992
56	238	3944
57	240	3900
58	241	3855
59	243	3810
60	245	3771
61	247	3737
62	248	3700
63	251	3675
64	253	3648
65	255	3612
66	257	3580
67	259	3550
68	261	3529
69	263	3500
70	265	3474
71	267	3449
72	269	3420
73	271	3391
74	272	3363
75	274	3337
76	277	3330
77	280	3312
78	282	3293
79	284	3271
80	286	3247
81	287	3222
82	289	3193
83	291	3174
84	293	3159
85	295	3137
86	296	3116
87	298	3095
88	300	3072
89	301	3051
90	303	3031
91	306	3025
92	307	3002
93	310	2990
94	312	2972
95	313	2953
96	315	2933
97	316	2913
98	318	2895
99	319	2879
100	322	2866
101	324	2853
102	325	2836
103	327	2819
104	328	2803
105	330	2788
106	332	2771
107	333	2757
108	335	2743
109	338	2739
110	340	2725
111	342	2711
112	343	2697
113	345	2682
114	347	2670
115	348	2658
116	350	2644
117	352	2631
118	353	2617
119	354	2603
120	358	2602
121	360	2594
122	362	2583
123	364	2573
124	366	2563
125	367	2551
126	369	2538
127	371	2528
128	373	2519
129	374	2508
130	376	2497
131	378	2491
132	380	2481
133	382	2472
134	385	2468
135	386	2457
136	388	2447
137	390	2436
138	393	2436
139	395	2431
140	397	2424
141	399	2412
142	401	2403
143	402	2394
144	404	2385
145	407	2386
146	410	2379
147	411	2368
148	413	2360
149	414	2351
150	416	2342
151	418	2333
152	420	2327
153	422	2321
154	424	2314
155	426	2307
156	427	2297
157	429	2287
158	430	2278
159	432	2270
160	433	2260
161	435	2255
162	437	2247
163	439	2239
164	441	2232
165	443	2227
166	445	2222
167	447	2216
168	449	2209
169	451	2204
170	453	2198
171	455	2193
172	457	2186
173	459	2178
174	460	2172
175	462	2167
176	464	2158
177	466	2152
178	468	2149
179	470	2141
180	472	2135
181	474	2130
182	475	2124
183	477	2118
184	479	2111
185	481	2109
186	483	2103
187	485	2097
188	487	2090
189	488	2082
190	489	2074
191	491	2068
192	493	2064
193	495	2057
194	497	2051
195	499	2047
196	500	2041
197	502	2034
198	503	2027
199	505	2020
200	506	2014
201	509	2011
202	511	2006
203	513	2003
204	514	1996
205	516	1989
206	517	1982
207	519	1976
208	520	1969
209	522	1964
210	523	1958
211	525	1953
212	527	1947
213	528	1942
214	530	1937
215	532	1931
216	533	1925
217	535	1919
218	536	1913
219	538	1909
220	540	1904
221	542	1899
222	543	1893
223	544	1887
224	546	1882
225	547	1876
226	549	1870
227	550	1865
228	552	1861
229	554	1856
230	555	1850
231	557	1845
232	558	1840
233	560	1834
234	561	1829
235	563	1824
236	564	1818
237	566	1814
238	568	1810
239	570	1805
240	571	1799
241	572	1794
242	574	1789
243	575	1783
244	577	1778
245	578	1773
246	580	1768
247	581	1763
248	583	1759
249	584	1753
250	586	1749
251	587	1743
252	588	1738
253	590	1733
254	591	1728
255	592	1723
256	594	1717
257	595	1713
258	597	1708
259	598	1704
260	600	1699
261	601	1694
262	602	1689
263	604	1684
264	605	1679
265	606	1674
266	608	1669
267	609	1664
268	611	1662
269	613	1658
270	614	1653
271	616	1648
272	617	1644
273	618	1639
274	619	1634
275	621	1629
276	622	1625
277	624	1621
278	625	1617
279	627	1613
280	629	1609
281	630	1605
282	631	1601
283	633	1597
284	634	1592
285	636	1588
286	637	1583
287	639	1579
288	640	1576
289	642	1572
290	643	1567
291	644	1563
292	646	1559
293	647	1554
294	648	1550
295	650	1546
296	651	1542
297	652	1538
298	654	1535
299	656	1531
300	658	1528
301	659	1524
302	660	1520
303	662	1516
304	663	1512
305	664	1507
306	666	1503
307	667	1499
308	668	1495
309	670	1493
310	672	1489
311	673	1485
312	674	1481
313	676	1477
314	677	1473
315	679	1469
316	680	1465
317	681	1461
318	682	1457
319	684	1454
320	685	1450
321	686	1446
322	688	1442
323	689	1438
